Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
282,Mississippi Valley St.,SWAC,11-16,-13.67,101.1,114.8,69.4,-.041,-12.87,96.6,109.5,+2.61
283,Maine,AE,12-18,-13.91,94.2,108.1,63.1,+.007,-10.39,97.9,108.3,-7.20
284,Cal St. Fullerton,BW,4-22,-14.32,94.8,109.1,65.6,-.056,-0.45,103.1,103.5,-1.26
285,Bethune Cookman,MEAC,12-17,-14.58,94.8,109.4,69.3,+.038,-10.27,97.1,107.3,-1.43
286,Youngstown St.,Horz,4-23,-14.67,95.7,110.3,67.5,-.003,+0.89,104.7,103.8,-2.58
287,New Hampshire,AE,10-17,-14.87,96.9,111.8,70.5,+.017,-9.70,97.7,107.4,-0.10
288,Norfolk St.,MEAC,10-19,-15.02,93.7,108.7,70.5,+.063,-6.29,99.4,105.7,+8.68
289,Army,Pat,10-16,-15.11,95.4,110.5,68.0,+.047,-8.92,97.8,106.7,-8.66
290,Robert Morris,NEC,12-18,-15.17,99.3,114.5,65.8,+.026,-10.30,98.2,108.5,+1.21
291,IPFW,ind,3-21,-15.26,97.0,112.3,74.1,-.033,-0.37,103.3,103.7,+0.58
292,Binghamton,AE,9-19,-15.37,92.7,108.1,67.2,-.059,-10.68,97.6,108.3,-6.96
293,Jackson St.,SWAC,9-19,-15.44,96.9,112.4,69.8,-.050,-11.11,96.7,107.8,+6.96
294,Mercer,ASun,5-23,-15.61,96.2,111.8,68.5,-.028,-1.29,104.0,105.2,+9.82
295,Eastern Kentucky,OVC,4-20,-15.71,93.4,109.1,70.2,+.011,-2.46,104.1,106.6,+2.94
296,Maryland Eastern Shore,MEAC,11-18,-16.02,98.8,114.9,64.3,+.043,-8.50,98.0,106.5,+2.10
297,Birmingham Southern,BSth,11-14,-16.20,94.4,110.6,62.4,+.029,-12.54,94.9,107.5,-8.19
298,Lehigh,Pat,4-23,-16.21,93.1,109.3,70.2,-.113,-6.98,99.1,106.1,-5.15
299,Sacred Heart,NEC,8-20,-16.60,96.3,112.9,71.7,-.074,-10.98,97.9,108.9,-3.55
300,Southeastern Louisiana,Slnd,6-20,-16.65,89.3,105.9,60.5,-.005,-6.09,99.2,105.3,-2.68
301,Campbell,ASun,7-19,-16.73,100.9,117.6,68.4,+.053,-4.25,102.0,106.3,-1.82
302,High Point,BSth,9-19,-17.03,96.7,113.7,67.1,+.017,-9.04,97.0,106.1,+1.06
303,Cornell,Ivy,4-22,-17.45,89.2,106.6,65.1,-.030,-2.44,101.9,104.4,-0.98
304,Dartmouth,Ivy,8-18,-17.66,100.2,117.8,62.5,+.037,-6.32,98.7,105.0,-9.51
305,St. Francis PA,NEC,6-21,-17.99,89.4,107.3,65.3,-.073,-9.16,99.6,108.8,+5.01
306,Coastal Carolina,BSth,8-20,-18.19,95.9,114.1,72.2,+.029,-8.04,97.9,105.9,+1.55
307,Eastern Michigan,MAC,5-24,-18.22,97.1,115.3,67.7,+.016,+0.02,104.7,104.7,-4.22
